#ResidueName    AtomName    AtomType(from Gromacs)    gbr(overlapscalefactors)    hct(standard radii for GB/SA )
ACE   H1    HC   1.25    0.85
ACE   CH3    CT   1.9    0.72
ACE   H2    HC   1.25    0.85
ACE   H3    HC   1.25    0.85
ACE   C    C   1.875    0.72
ACE   O    O   1.48    0.85
NMA   N    N   1.7063    0.79
NMA   H    H   1.15    0.85
NMA   CA    CT   1.9    0.72
NMA   HA1    H1   1.25    0.85
NMA   HA2    H1   1.25    0.85
NMA   HA3    H1   1.25    0.85
NHE   N    N   1.7063    0.79
NHE   HN1    H   1.15    0.85
NHE   HN2    H   1.15    0.85
NH2   N    N   1.7063    0.79
NH2   HN1    H   1.15    0.85
NH2   HN2    H   1.15    0.85
ALA   N    N   1.7063    0.79
ALA   H    H   1.15    0.85
ALA   CA    CT   1.9    0.72
ALA   HA    H1   1.25    0.85
ALA   CB    CT   1.9    0.72
ALA   HB1    HC   1.25    0.85
ALA   HB2    HC   1.25    0.85
ALA   HB3    HC   1.25    0.85
ALA   C    C   1.875    0.72
ALA   O    O   1.48    0.85
GLY   N    N   1.7063    0.79
GLY   H    H   1.15    0.85
GLY   CA    CT   1.9    0.72
GLY   HA2    H1   1.25    0.85
GLY   HA3    H1   1.25    0.85
GLY   C    C   1.875    0.72
GLY   O    O   1.48    0.85
SER   N    N   1.7063    0.79
SER   H    H   1.15    0.85
SER   CA    CT   1.9    0.72
SER   HA    H1   1.25    0.85
SER   CB    CT   1.9    0.72
SER   HB2    H1   1.25    0.85
SER   HB3    H1   1.25    0.85
SER   OG    OH   1.535    0.85
SER   HG    HO   1.05    0.85
SER   C    C   1.875    0.72
SER   O    O   1.48    0.85
THR   N    N   1.7063    0.79
THR   H    H   1.15    0.85
THR   CA    CT   1.9    0.72
THR   HA    H1   1.25    0.85
THR   CB    CT   1.9    0.72
THR   HB    H1   1.25    0.85
THR   CG2    CT   1.9    0.72
THR   HG21    HC   1.25    0.85
THR   HG22    HC   1.25    0.85
THR   HG23    HC   1.25    0.85
THR   OG1    OH   1.535    0.85
THR   HG1    HO   1.05    0.85
THR   C    C   1.875    0.72
THR   O    O   1.48    0.85
LEU   N    N   1.7063    0.79
LEU   H    H   1.15    0.85
LEU   CA    CT   1.9    0.72
LEU   HA    H1   1.25    0.85
LEU   CB    CT   1.9    0.72
LEU   HB2    HC   1.25    0.85
LEU   HB3    HC   1.25    0.85
LEU   CG    CT   1.9    0.72
LEU   HG    HC   1.25    0.85
LEU   CD1    CT   1.9    0.72
LEU   HD11    HC   1.25    0.85
LEU   HD12    HC   1.25    0.85
LEU   HD13    HC   1.25    0.85
LEU   CD2    CT   1.9    0.72
LEU   HD21    HC   1.25    0.85
LEU   HD22    HC   1.25    0.85
LEU   HD23    HC   1.25    0.85
LEU   C    C   1.875    0.72
LEU   O    O   1.48    0.85
ILE   N    N   1.7063    0.79
ILE   H    H   1.15    0.85
ILE   CA    CT   1.9    0.72
ILE   HA    H1   1.25    0.85
ILE   CB    CT   1.9    0.72
ILE   HB    HC   1.25    0.85
ILE   CG2    CT   1.9    0.72
ILE   HG21    HC   1.25    0.85
ILE   HG22    HC   1.25    0.85
ILE   HG23    HC   1.25    0.85
ILE   CG1    CT   1.9    0.72
ILE   HG12    HC   1.25    0.85
ILE   HG13    HC   1.25    0.85
ILE   CD1    CT   1.9    0.72
ILE   HD11    HC   1.25    0.85
ILE   HD12    HC   1.25    0.85
ILE   HD13    HC   1.25    0.85
ILE   C    C   1.875    0.72
ILE   O    O   1.48    0.85
VAL   N    N   1.7063    0.79
VAL   H    H   1.15    0.85
VAL   CA    CT   1.9    0.72
VAL   HA    H1   1.25    0.85
VAL   CB    CT   1.9    0.72
VAL   HB    HC   1.25    0.85
VAL   CG1    CT   1.9    0.72
VAL   HG11    HC   1.25    0.85
VAL   HG12    HC   1.25    0.85
VAL   HG13    HC   1.25    0.85
VAL   CG2    CT   1.9    0.72
VAL   HG21    HC   1.25    0.85
VAL   HG22    HC   1.25    0.85
