# Solvent params for SGB 

# residue  PDBatomName radNpSGB radNpType SGBNpGamma  SGBNpType

ace  _CH3  1.9750   1.7500   0.000085900  -0.754493700
ace  _C__  2.1120   1.8750  -0.026933700  -0.722204000
ace  _H1_  1.4250   1.2500   0.008394800   0.285390400
ace  _H2_  1.4250   1.2500   0.008394800   0.285390400
ace  _H3_  1.4250   1.2500   0.008394800   0.285390400
ace  _O__  1.6780   1.4800   0.010478200   0.635855300
ala  _CA_  1.9750   1.7500   0.000085900  -0.754493700
ala  _CB_  1.9750   1.7500   0.000085900  -0.754493700
ala  _C__  2.1120   1.8750  -0.026933700  -0.722204000
ala  _HA_  1.4250   1.2500   0.008394800   0.285390400
ala  _HB1  1.4250   1.2500   0.008394800   0.285390400
ala  _HB2  1.4250   1.2500   0.008394800   0.285390400
ala  _HB3  1.4250   1.2500   0.008394800   0.285390400
ala  _H__  0.9960   0.8600   0.079817800  -1.129220000
ala  _N__  1.9200   1.7000   0.168599800  -5.228863800
ala  _O__  1.6780   1.4800   0.010478200   0.635855300
alab _CA_  1.9750   1.7500   0.000085900  -0.754493700
alab _CB_  1.9750   1.7500   0.000085900  -0.754493700
alab _C__  2.1120   1.8750  -0.026933700  -0.722204000
alab _H1_  0.9960   0.8600   0.079817800  -1.129220000
alab _H2_  0.9960   0.8600   0.079817800  -1.129220000
alab _H3_  0.9960   0.8600   0.079817800  -1.129220000
alab _HA_  1.4250   1.2500   0.008394800   0.285390400
alab _HB1  1.4250   1.2500   0.008394800   0.285390400
alab _HB2  1.4250   1.2500   0.008394800   0.285390400
alab _HB3  1.4250   1.2500   0.008394800   0.285390400
alab _N__  2.1000   1.6250  -0.100907100   4.805719700
alab _O__  1.6780   1.4800   0.010478200   0.635855300
alae _CA_  1.9750   1.7500   0.000085900  -0.754493700
alae _CB_  1.9750   1.7500   0.000085900  -0.754493700
alae _C__  2.1120   1.8750  -0.026933700  -0.722204000
alae _HA_  1.4250   1.2500   0.008394800   0.285390400
alae _HB1  1.4250   1.2500   0.008394800   0.285390400
alae _HB2  1.4250   1.2500   0.008394800   0.285390400
alae _HB3  1.4250   1.2500   0.008394800   0.285390400
alae _H__  0.9960   0.8600   0.079817800  -1.129220000
alae _N__  1.9200   1.7000   0.168599800  -5.228863800
alae _OXT  1.6780   1.4800  -0.350477400  15.005156000
alae _O__  1.6780   1.4800  -0.350477400  15.005156000
alaz _CA_  1.9750   1.7500   0.000085900  -0.754493700
alaz _CB_  1.9750   1.7500   0.000085900  -0.754493700
alaz _C__  2.1120   1.8750  -0.026933700  -0.722204000
alaz _H1_  0.9960   0.8600   0.079817800  -1.129220000
alaz _H2_  0.9960   0.8600   0.079817800  -1.129220000
alaz _H3_  0.9960   0.8600   0.079817800  -1.129220000
alaz _HA_  1.4250   1.2500   0.008394800   0.285390400
alaz _HB1  1.4250   1.2500   0.008394800   0.285390400
alaz _HB2  1.4250   1.2500   0.008394800   0.285390400
alaz _HB3  1.4250   1.2500   0.008394800   0.285390400
alaz _N__  2.1000   1.6250  -0.100907100   4.805719700
alaz _OXT  1.6780   1.4800  -0.350477400  15.005156000
alaz _O__  1.6780   1.4800  -0.350477400  15.005156000
arg  HH11  0.9960   0.8600   0.079817800  -1.129220000
arg  HH12  0.9960   0.8600   0.079817800  -1.129220000
arg  HH21  0.9960   0.8600   0.079817800  -1.129220000
arg  HH22  0.9960   0.8600   0.079817800  -1.129220000
arg  _CA_  1.9750   1.7500   0.000085900  -0.754493700
arg  _CB_  1.9750   1.7500   0.000085900  -0.754493700
arg  _CD_  1.9750   1.7500   0.000085900  -0.754493700
arg  _CG_  1.9750   1.7500   0.000085900  -0.754493700
arg  _CZ_  1.2880   1.1250  -0.026970600   0.118943300
arg  _C__  2.1120   1.8750  -0.026933700  -0.722204000
arg  _HA_  1.4250   1.2500   0.008394800   0.285390400
arg  _HB2  1.4250   1.2500   0.008394800   0.285390400
arg  _HB3  1.4250   1.2500   0.008394800   0.285390400
arg  _HD2  1.4250   1.2500   0.008394800   0.285390400
arg  _HD3  1.4250   1.2500   0.008394800   0.285390400
arg  _HE_  0.9960   0.8600   0.079817800  -1.129220000
arg  _HG2  1.4250   1.2500   0.008394800   0.285390400
arg  _HG3  1.4250   1.2500   0.008394800   0.285390400
arg  _H__  0.9960   0.8600   0.079817800  -1.129220000
arg  _NE_  1.8380   1.6250  -0.098957700   1.177961700
arg  _NH1  1.8380   1.6250  -0.098957700   1.177961700
arg  _NH2  1.8380   1.6250  -0.098957700   1.177961700
arg  _N__  1.9200   1.7000   0.168599800  -5.228863800
arg  _O__  1.6780   1.4800   0.010478200   0.635855300
argb HH11  0.9960   0.8600   0.079817800  -1.129220000
argb HH12  0.9960   0.8600   0.079817800  -1.129220000
argb HH21  0.9960   0.8600   0.079817800  -1.129220000
argb HH22  0.9960   0.8600   0.079817800  -1.129220000
argb _CA_  1.9750   1.7500   0.000085900  -0.754493700
argb _CB_  1.9750   1.7500   0.000085900  -0.754493700
argb _CD_  1.9750   1.7500   0.000085900  -0.754493700
argb _CG_  1.9750   1.7500   0.000085900  -0.754493700
argb _CZ_  1.2880   1.1250  -0.026970600   0.118943300
argb _C__  2.1120   1.8750  -0.026933700  -0.722204000
argb _H1_  0.9960   0.8600   0.079817800  -1.129220000
argb _H2_  0.9960   0.8600   0.079817800  -1.129220000
argb _H3_  0.9960   0.8600   0.079817800  -1.129220000
argb _HA_  1.4250   1.2500   0.008394800   0.285390400
argb _HB2  1.4250   1.2500   0.008394800   0.285390400
argb _HB3  1.4250   1.2500   0.008394800   0.285390400
argb _HD2  1.4250   1.2500   0.008394800   0.285390400
argb _HD3  1.4250   1.2500   0.008394800   0.285390400
argb _HE_  0.9960   0.8600   0.079817800  -1.129220000
argb _HG2  1.4250   1.2500   0.008394800   0.285390400
argb _HG3  1.4250   1.2500   0.008394800   0.285390400
argb _NE_  1.8380   1.6250  -0.098957700   1.177961700
argb _NH1  1.8380   1.6250  -0.098957700   1.177961700
argb _NH2  1.8380   1.6250  -0.098957700   1.177961700
argb _N__  2.1000   1.6250  -0.100907100   4.805719700
argb _O__  1.6780   1.4800   0.010478200   0.635855300
arge HH11  0.9960   0.8600   0.079817800  -1.129220000
arge HH12  0.9960   0.8600   0.079817800  -1.129220000
arge HH21  0.9960   0.8600   0.079817800  -1.129220000
arge HH22  0.9960   0.8600   0.079817800  -1.129220000
arge _CA_  1.9750   1.7500   0.000085900  -0.754493700
arge _CB_  1.9750   1.7500   0.000085900  -0.754493700
arge _CD_  1.9750   1.7500   0.000085900  -0.754493700
