# residueName  PeleName  ExternalName  Application

#           proteins
HIS     _HD2    _HD2     Gromacs
HIP     _HD2    _HD2     Gromacs
HID     _HD2    _HD2     Gromacs
HIE     _HD2    _HD2     Gromacs
TRP     _HE3    _HE3     Gromacs
ILE     HD11    _HD1     Gromacs
ILE     HD12    _HD2     Gromacs
ILE     HD13    _HD3     Gromacs

ALA     _HB2    _HB2     Gromacs
ALA     _HB3    _HB3     Gromacs


ANY     HG12    HG11     Gromacs
ANY     HG13    HG12     Gromacs
ANY     _HB2    _HB1     Gromacs
ANY     _HB3    _HB2     Gromacs
ANY     _HD2    _HD1     Gromacs
ANY     _HD3    _HD2     Gromacs
ANY     _HA2    _HA1     Gromacs
ANY     _HA3    _HA2     Gromacs
ANY     _HE2    _HE1     Gromacs
ANY     _HE3    _HE2     Gromacs
ANY     _HG2    _HG1     Gromacs
ANY     _HG3    _HG2     Gromacs

#            DNA
 
ANY     _OP1    _O1P     Gromacs
ANY     _OP2    _O2P     Gromacs
ANY     _H2'    H2'1     Gromacs  
ANY     H2''    H2'2     Gromacs
ANY     _H5'    H5'1     Gromacs
ANY     H5''    H5'2     Gromacs
ANY     HO5'    _H5T     Gromacs 
ANY     HO3'    _H3T     Gromacs
ANY     HO2'    HO'2     Gromacs

